NOEUD_O;NOEUD_D;VL_HCE
7778;7778;0
7778;7800;0
7778;7802;0
7778;7803;0
7778;7805;0
7778;7806;0
7778;7809;0
7778;7810;0
7778;7812;0
7778;7813;0
7778;7814;0
7778;7815;0
7778;7817;0
7778;7818;0
7778;7819;0
7778;7820;0
7778;7837;0
7778;9065;3.97
7778;9067;0.52
7778;9068;2.95
7778;9071;2.53
7778;9073;4.28
7778;9074;1.1
7778;9075;0.77
7778;9076;2.15
7778;9077;0.46
7778;9078;3.76
7778;9079;1.28
7778;9080;0.22
7778;9081;1.39
7778;9083;0.28
7778;9086;1.46
7778;9090;1.32
7778;9092;0.7
7778;9097;2.05
7778;9098;0.93
7778;9099;0.13
7778;9100;0.35
7778;9103;1.6
7778;9104;0.72
7778;9108;11.25
7778;9109;5.22
7778;9110;0.92
7778;9111;0.67
7778;9115;0.85
7778;9116;0.41
7778;9117;0.43
7778;9118;0.21
7778;9119;0.34
7778;9120;0.66
7778;9121;0.01
7778;9122;0.21
7778;9123;0.14
7778;9124;0.9
7778;9125;0.91
7778;9126;0.09
7778;9127;0.13
7778;9128;0
7778;9129;0
7778;9130;0.06
7778;9131;0.01
7778;9132;0.02
7778;9133;0.04
7778;9136;0.09
7778;9137;0.02
7778;9139;0.01
7778;9140;0.02
7778;9141;0.03
7778;9147;0.09
7778;9149;0.06
7778;9150;0.17
7778;9151;0.08
7778;9152;0.29
7778;9154;0.37
7778;9155;0.08
7778;9156;0.36
7778;9157;0.51
7778;9159;0.04
7778;9160;0.06
7778;9161;0.13
7778;9162;0.2
7778;9163;0.13
7778;9164;0.01
7778;9165;0.18
7778;9166;0.17
7778;9167;0.01
7778;9168;0
7778;9169;0.23
7778;9170;0.18
7778;9171;0.04
7778;9172;0.49
7778;9173;0.22
7778;9174;0.18
7778;9175;0.04
7778;9176;0.04
7778;9177;0.01
7778;9178;0.01
7778;9179;0.01
7778;9180;0.01
7778;9181;0
7778;9182;0.01
7778;9183;0
7778;9184;0.02
7778;9185;0.11
7778;9186;0.04
7778;9187;0.02
7778;9188;0.78
7778;9189;0.2
7778;9190;0.66
7778;9191;0.32
7778;9192;0.86
7778;9193;0.36
7778;9194;0.18
7778;9195;1.97
7778;9196;0.19
7778;9197;1.19
7778;9198;0.14
7778;9199;0.1
7778;9200;0.01
7778;9202;0.14
7778;9203;0.15
7778;9204;0.2
7778;9205;0.06
7778;9206;0.23
7778;9210;0.07
7778;9211;0.63
7778;9212;0.19
7778;9217;0.15
7778;9224;0.44
7778;9225;0.6
7778;9228;0.32
7778;9229;0.15
7778;9230;0.27
7778;9231;0.1
7778;9232;0.01
7778;9233;0.23
7778;9234;0.05
7778;9236;0.12
7778;9237;0.04
7778;9238;0.04
7778;9239;0.03
7778;9244;0.09
7778;9245;0.08
7778;9246;0.17
7778;9251;0.02
7778;9252;0.04
7778;9255;0.11
7778;9256;0.03
7778;9257;0.03
7778;9258;0
7778;9259;0
7778;9260;0.3
7778;9261;0.45
7778;9262;0.61
7778;9263;0.24
7778;9264;0.05
7778;9265;0.16
7778;9266;0.62
7778;9267;0.54
7778;9268;0.2
7778;9269;0.08
7778;9270;0
7778;9271;0.54
7778;9272;0.11
7778;9273;0.1
7778;9274;0.13
7778;9275;0.49
7778;9276;0.01
7778;9277;0.01
7778;9278;0
7778;9279;0
7778;9280;0
7778;9281;0.37
7778;9282;0.22
7778;9283;0.12
7778;9284;0.03
7778;9285;0.15
7778;9286;0.15
7778;9287;0.02
7778;9288;0.07
7778;9289;0
7778;9290;0.08
7778;9291;0
7778;9292;0
7778;9293;0
7778;9294;0
7778;9295;0
7778;9296;0
7778;9297;0
7778;9298;0
7778;9299;0
7778;9300;0
7778;9301;0.06
7778;9302;0.04
7778;9303;0.06
7778;9304;0
7778;9305;0.08
7778;9306;0.1
7778;9307;0.03
7778;9308;0.07
7778;9309;0.46
7778;9310;0.31
7778;9311;0
7778;9312;0.09
7778;9313;0.21
7778;9314;0.52
7778;9315;1.84
7778;9316;0.5
7778;9317;0.85
7778;9318;0.23
7778;9319;0.29
7778;9320;0.1
7778;9321;0.78
7778;9322;0.09
7778;9323;0.44
7778;9324;0.8
