NOEUD_O;NOEUD_D;VL_HPM
7778;7778;0
7778;7800;29.98
7778;7802;36.15
7778;7803;1.05
7778;7805;0
7778;7806;11.53
7778;7809;0
7778;7810;0
7778;7812;4.34
7778;7813;2.8
7778;7814;0.8
7778;7815;2.44
7778;7817;5.77
7778;7818;0
7778;7819;0
7778;7820;0
7778;7837;495.17
7800;7778;29.98
7800;7800;0
7800;7802;0
7800;7803;0
7800;7805;0
7800;7806;0.42
7800;7809;7.12
7800;7810;2.12
7800;7812;0.24
7800;7813;5.09
7800;7814;0
7800;7815;0.64
7800;7817;0.55
7800;7818;0
7800;7819;0
7800;7820;1.01
7800;7837;0.31
7802;7778;36.15
7802;7800;0
7802;7802;0
7802;7803;0
7802;7805;0
7802;7806;3.74
7802;7809;1.34
7802;7810;0.86
7802;7812;0.26
7802;7813;10.05
7802;7814;0.69
7802;7815;2.74
7802;7817;3.62
7802;7818;0
7802;7819;0
7802;7820;0.55
7802;7837;0
7803;7778;1.05
7803;7800;0
7803;7802;0
7803;7803;0
7803;7805;0
7803;7806;0
7803;7809;0
7803;7810;0
7803;7812;0
7803;7813;0.21
7803;7814;0
7803;7815;0.14
7803;7817;0.55
7803;7818;0
7803;7819;0
7803;7820;0.95
7803;7837;0.41
7805;7778;0
7805;7800;0
7805;7802;0
7805;7803;0
7805;7805;0
7805;7806;0
7805;7809;0
7805;7810;0
7805;7812;0
7805;7813;0
7805;7814;0
7805;7815;0
7805;7817;0
7805;7818;0
7805;7819;0
7805;7820;0
7805;7837;0
7806;7778;11.53
7806;7800;0.42
7806;7802;3.74
7806;7803;0
7806;7805;0
7806;7806;0
7806;7809;0.29
7806;7810;0.25
7806;7812;0
7806;7813;24.03
7806;7814;1.18
7806;7815;5.14
7806;7817;27.45
7806;7818;0
7806;7819;0.88
7806;7820;0.42
7806;7837;49.29
7809;7778;0
7809;7800;7.12
7809;7802;1.34
7809;7803;0
7809;7805;0
7809;7806;0.29
7809;7809;0
7809;7810;0
7809;7812;0
7809;7813;5.21
7809;7814;0
7809;7815;0
7809;7817;0
7809;7818;0
7809;7819;0
7809;7820;0
7809;7837;18.74
7810;7778;0
7810;7800;2.12
7810;7802;0.86
7810;7803;0
7810;7805;0
7810;7806;0.25
7810;7809;0
7810;7810;0
7810;7812;2.24
7810;7813;20.38
7810;7814;1.05
7810;7815;0.9
7810;7817;0.01
7810;7818;0
7810;7819;0
7810;7820;0
7810;7837;6.52
7812;7778;4.34
7812;7800;0.24
7812;7802;0.26
7812;7803;0
7812;7805;0
7812;7806;0
7812;7809;0
7812;7810;2.24
7812;7812;0
7812;7813;0
7812;7814;0
7812;7815;0
7812;7817;0
7812;7818;0
7812;7819;0
7812;7820;0
7812;7837;1.28
7813;7778;2.8
7813;7800;5.09
7813;7802;10.05
7813;7803;0.21
7813;7805;0
7813;7806;24.03
7813;7809;5.21
7813;7810;20.38
7813;7812;0
7813;7813;0
7813;7814;0
7813;7815;0
7813;7817;0
7813;7818;0
7813;7819;0
7813;7820;0.93
7813;7837;58.63
7814;7778;0.8
7814;7800;0
7814;7802;0.69
7814;7803;0
7814;7805;0
7814;7806;1.18
7814;7809;0
7814;7810;1.05
7814;7812;0
7814;7813;0
7814;7814;0
7814;7815;0
7814;7817;0
7814;7818;0
7814;7819;0
7814;7820;0
7814;7837;1.04
7815;7778;2.44
7815;7800;0.64
7815;7802;2.74
7815;7803;0.14
7815;7805;0
7815;7806;5.14
7815;7809;0
7815;7810;0.9
7815;7812;0
7815;7813;0
7815;7814;0
7815;7815;0
7815;7817;0
7815;7818;0
7815;7819;0
7815;7820;0.86
7815;7837;6.52
7817;7778;5.77
7817;7800;0.55
7817;7802;3.62
7817;7803;0.55
7817;7805;0
7817;7806;27.45
7817;7809;0
7817;7810;0.01
7817;7812;0
7817;7813;0
7817;7814;0
7817;7815;0
7817;7817;0
7817;7818;0
7817;7819;0
7817;7820;1.08
7817;7837;23.36
7818;7778;0
7818;7800;0
7818;7802;0
7818;7803;0
7818;7805;0
7818;7806;0
7818;7809;0
7818;7810;0
7818;7812;0
7818;7813;0
7818;7814;0
7818;7815;0
7818;7817;0
7818;7818;0
7818;7819;0
7818;7820;1.45
7818;7837;0
7819;7778;0
7819;7800;0
7819;7802;0
7819;7803;0
7819;7805;0
7819;7806;0.88
7819;7809;0
7819;7810;0
7819;7812;0
7819;7813;0
7819;7814;0
7819;7815;0
7819;7817;0
7819;7818;0
7819;7819;0
7819;7820;0
7819;7837;0
7820;7778;0
7820;7800;1.01
7820;7802;0.55
7820;7803;0.95
7820;7805;0
7820;7806;0.42
7820;7809;0
7820;7810;0
7820;7812;0
7820;7813;0.93
7820;7814;0
7820;7815;0.86
7820;7817;1.08
7820;7818;1.45
7820;7819;0
7820;7820;0
7820;7837;9.92
7837;7778;495.17
7837;7800;0.31
7837;7802;0
7837;7803;0.41
7837;7805;0
7837;7806;49.29
7837;7809;18.74
7837;7810;6.52
7837;7812;1.28
7837;7813;58.63
7837;7814;1.04
7837;7815;6.52
7837;7817;23.36
7837;7818;0
7837;7819;0
7837;7820;9.92
7837;7837;0
