NOEUD_O;NOEUD_D;VL_HCC
7778;7778;0
7778;7800;28.04
7778;7802;33.81
7778;7803;0.98
7778;7805;0
7778;7806;10.78
7778;7809;0
7778;7810;0
7778;7812;4.06
7778;7813;2.62
7778;7814;0.75
7778;7815;2.28
7778;7817;5.4
7778;7818;0
7778;7819;0
7778;7820;0
7778;7837;463.13
7800;7778;28.04
7800;7800;0
7800;7802;0
7800;7803;0
7800;7805;0
7800;7806;0.39
7800;7809;6.66
7800;7810;1.98
7800;7812;0.22
7800;7813;4.76
7800;7814;0
7800;7815;0.6
7800;7817;0.51
7800;7818;0
7800;7819;0
7800;7820;0.94
7800;7837;0.29
7802;7778;33.81
7802;7800;0
7802;7802;0
7802;7803;0
7802;7805;0
7802;7806;3.5
7802;7809;1.25
7802;7810;0.8
7802;7812;0.24
7802;7813;9.4
7802;7814;0.65
7802;7815;2.57
7802;7817;3.38
7802;7818;0
7802;7819;0
7802;7820;0.51
7802;7837;0
7803;7778;0.98
7803;7800;0
7803;7802;0
7803;7803;0
7803;7805;0
7803;7806;0
7803;7809;0
7803;7810;0
7803;7812;0
7803;7813;0.19
7803;7814;0
7803;7815;0.13
7803;7817;0.52
7803;7818;0
7803;7819;0
7803;7820;0.88
7803;7837;0.39
7805;7778;0
7805;7800;0
7805;7802;0
7805;7803;0
7805;7805;0
7805;7806;0
7805;7809;0
7805;7810;0
7805;7812;0
7805;7813;0
7805;7814;0
7805;7815;0
7805;7817;0
7805;7818;0
7805;7819;0
7805;7820;0
7805;7837;0
7806;7778;10.78
7806;7800;0.39
7806;7802;3.5
7806;7803;0
7806;7805;0
7806;7806;0
7806;7809;0.27
7806;7810;0.23
7806;7812;0
7806;7813;22.47
7806;7814;1.1
7806;7815;4.81
7806;7817;25.67
7806;7818;0
7806;7819;0.82
7806;7820;0.4
7806;7837;46.1
7809;7778;0
7809;7800;6.66
7809;7802;1.25
7809;7803;0
7809;7805;0
7809;7806;0.27
7809;7809;0
7809;7810;0
7809;7812;0
7809;7813;4.87
7809;7814;0
7809;7815;0
7809;7817;0
7809;7818;0
7809;7819;0
7809;7820;0
7809;7837;17.53
7810;7778;0
7810;7800;1.98
7810;7802;0.8
7810;7803;0
7810;7805;0
7810;7806;0.23
7810;7809;0
7810;7810;0
7810;7812;2.09
7810;7813;19.06
7810;7814;0.98
7810;7815;0.84
7810;7817;0.01
7810;7818;0
7810;7819;0
7810;7820;0
7810;7837;6.1
7812;7778;4.06
7812;7800;0.22
7812;7802;0.24
7812;7803;0
7812;7805;0
7812;7806;0
7812;7809;0
7812;7810;2.09
7812;7812;0
7812;7813;0
7812;7814;0
7812;7815;0
7812;7817;0
7812;7818;0
7812;7819;0
7812;7820;0
7812;7837;1.19
7813;7778;2.62
7813;7800;4.76
7813;7802;9.4
7813;7803;0.19
7813;7805;0
7813;7806;22.47
7813;7809;4.87
7813;7810;19.06
7813;7812;0
7813;7813;0
7813;7814;0
7813;7815;0
7813;7817;0
7813;7818;0
7813;7819;0
7813;7820;0.87
7813;7837;54.83
7814;7778;0.75
7814;7800;0
7814;7802;0.65
7814;7803;0
7814;7805;0
7814;7806;1.1
7814;7809;0
7814;7810;0.98
7814;7812;0
7814;7813;0
7814;7814;0
7814;7815;0
7814;7817;0
7814;7818;0
7814;7819;0
7814;7820;0
7814;7837;0.98
7815;7778;2.28
7815;7800;0.6
7815;7802;2.57
7815;7803;0.13
7815;7805;0
7815;7806;4.81
7815;7809;0
7815;7810;0.84
7815;7812;0
7815;7813;0
7815;7814;0
7815;7815;0
7815;7817;0
7815;7818;0
7815;7819;0
7815;7820;0.8
7815;7837;6.1
7817;7778;5.4
7817;7800;0.51
7817;7802;3.38
7817;7803;0.52
7817;7805;0
7817;7806;25.67
7817;7809;0
7817;7810;0.01
7817;7812;0
7817;7813;0
7817;7814;0
7817;7815;0
7817;7817;0
7817;7818;0
7817;7819;0
7817;7820;1.01
7817;7837;21.85
7818;7778;0
7818;7800;0
7818;7802;0
7818;7803;0
7818;7805;0
7818;7806;0
7818;7809;0
7818;7810;0
7818;7812;0
7818;7813;0
7818;7814;0
7818;7815;0
7818;7817;0
7818;7818;0
7818;7819;0
7818;7820;1.35
7818;7837;0
7819;7778;0
7819;7800;0
7819;7802;0
7819;7803;0
7819;7805;0
7819;7806;0.82
7819;7809;0
7819;7810;0
7819;7812;0
7819;7813;0
7819;7814;0
7819;7815;0
7819;7817;0
7819;7818;0
7819;7819;0
7819;7820;0
7819;7837;0
7820;7778;0
7820;7800;0.94
7820;7802;0.51
7820;7803;0.88
7820;7805;0
7820;7806;0.4
7820;7809;0
7820;7810;0
7820;7812;0
7820;7813;0.87
7820;7814;0
7820;7815;0.8
7820;7817;1.01
7820;7818;1.35
7820;7819;0
7820;7820;0
7820;7837;9.28
7837;7778;463.13
7837;7800;0.29
7837;7802;0
7837;7803;0.39
7837;7805;0
7837;7806;46.1
7837;7809;17.53
7837;7810;6.1
7837;7812;1.19
7837;7813;54.83
7837;7814;0.98
7837;7815;6.1
7837;7817;21.85
7837;7818;0
7837;7819;0
7837;7820;9.28
7837;7837;0
