NOEUD_O;NOEUD_D;VL_HCE
7778;7778;0
7778;7800;16.67
7778;7802;20.09
7778;7803;0.58
7778;7805;0
7778;7806;6.41
7778;7809;0
7778;7810;0
7778;7812;2.41
7778;7813;1.56
7778;7814;0.44
7778;7815;1.36
7778;7817;3.21
7778;7818;0
7778;7819;0
7778;7820;0
7778;7837;275.23
7800;7778;16.67
7800;7800;0
7800;7802;0
7800;7803;0
7800;7805;0
7800;7806;0.23
7800;7809;3.96
7800;7810;1.18
7800;7812;0.13
7800;7813;2.83
7800;7814;0
7800;7815;0.36
7800;7817;0.3
7800;7818;0
7800;7819;0
7800;7820;0.56
7800;7837;0.17
7802;7778;20.09
7802;7800;0
7802;7802;0
7802;7803;0
7802;7805;0
7802;7806;2.08
7802;7809;0.74
7802;7810;0.48
7802;7812;0.14
7802;7813;5.59
7802;7814;0.38
7802;7815;1.52
7802;7817;2.01
7802;7818;0
7802;7819;0
7802;7820;0.3
7802;7837;0
7803;7778;0.58
7803;7800;0
7803;7802;0
7803;7803;0
7803;7805;0
7803;7806;0
7803;7809;0
7803;7810;0
7803;7812;0
7803;7813;0.12
7803;7814;0
7803;7815;0.08
7803;7817;0.31
7803;7818;0
7803;7819;0
7803;7820;0.53
7803;7837;0.23
7805;7778;0
7805;7800;0
7805;7802;0
7805;7803;0
7805;7805;0
7805;7806;0
7805;7809;0
7805;7810;0
7805;7812;0
7805;7813;0
7805;7814;0
7805;7815;0
7805;7817;0
7805;7818;0
7805;7819;0
7805;7820;0
7805;7837;0
7806;7778;6.41
7806;7800;0.23
7806;7802;2.08
7806;7803;0
7806;7805;0
7806;7806;0
7806;7809;0.16
7806;7810;0.14
7806;7812;0
7806;7813;13.36
7806;7814;0.66
7806;7815;2.86
7806;7817;15.26
7806;7818;0
7806;7819;0.49
7806;7820;0.24
7806;7837;27.4
7809;7778;0
7809;7800;3.96
7809;7802;0.74
7809;7803;0
7809;7805;0
7809;7806;0.16
7809;7809;0
7809;7810;0
7809;7812;0
7809;7813;2.89
7809;7814;0
7809;7815;0
7809;7817;0
7809;7818;0
7809;7819;0
7809;7820;0
7809;7837;10.42
7810;7778;0
7810;7800;1.18
7810;7802;0.48
7810;7803;0
7810;7805;0
7810;7806;0.14
7810;7809;0
7810;7810;0
7810;7812;1.24
7810;7813;11.33
7810;7814;0.58
7810;7815;0.5
7810;7817;0.01
7810;7818;0
7810;7819;0
7810;7820;0
7810;7837;3.63
7812;7778;2.41
7812;7800;0.13
7812;7802;0.14
7812;7803;0
7812;7805;0
7812;7806;0
7812;7809;0
7812;7810;1.24
7812;7812;0
7812;7813;0
7812;7814;0
7812;7815;0
7812;7817;0
7812;7818;0
7812;7819;0
7812;7820;0
7812;7837;0.71
7813;7778;1.56
7813;7800;2.83
7813;7802;5.59
7813;7803;0.12
7813;7805;0
7813;7806;13.36
7813;7809;2.89
7813;7810;11.33
7813;7812;0
7813;7813;0
7813;7814;0
7813;7815;0
7813;7817;0
7813;7818;0
7813;7819;0
7813;7820;0.52
7813;7837;32.59
7814;7778;0.44
7814;7800;0
7814;7802;0.38
7814;7803;0
7814;7805;0
7814;7806;0.66
7814;7809;0
7814;7810;0.58
7814;7812;0
7814;7813;0
7814;7814;0
7814;7815;0
7814;7817;0
7814;7818;0
7814;7819;0
7814;7820;0
7814;7837;0.58
7815;7778;1.36
7815;7800;0.36
7815;7802;1.52
7815;7803;0.08
7815;7805;0
7815;7806;2.86
7815;7809;0
7815;7810;0.5
7815;7812;0
7815;7813;0
7815;7814;0
7815;7815;0
7815;7817;0
7815;7818;0
7815;7819;0
7815;7820;0.48
7815;7837;3.63
7817;7778;3.21
7817;7800;0.3
7817;7802;2.01
7817;7803;0.31
7817;7805;0
7817;7806;15.26
7817;7809;0
7817;7810;0.01
7817;7812;0
7817;7813;0
7817;7814;0
7817;7815;0
7817;7817;0
7817;7818;0
7817;7819;0
7817;7820;0.6
7817;7837;12.98
7818;7778;0
7818;7800;0
7818;7802;0
7818;7803;0
7818;7805;0
7818;7806;0
7818;7809;0
7818;7810;0
7818;7812;0
7818;7813;0
7818;7814;0
7818;7815;0
7818;7817;0
7818;7818;0
7818;7819;0
7818;7820;0.8
7818;7837;0
7819;7778;0
7819;7800;0
7819;7802;0
7819;7803;0
7819;7805;0
7819;7806;0.49
7819;7809;0
7819;7810;0
7819;7812;0
7819;7813;0
7819;7814;0
7819;7815;0
7819;7817;0
7819;7818;0
7819;7819;0
7819;7820;0
7819;7837;0
7820;7778;0
7820;7800;0.56
7820;7802;0.3
7820;7803;0.53
7820;7805;0
7820;7806;0.24
7820;7809;0
7820;7810;0
7820;7812;0
7820;7813;0.52
7820;7814;0
7820;7815;0.48
7820;7817;0.6
7820;7818;0.8
7820;7819;0
7820;7820;0
7820;7837;5.51
7837;7778;275.23
7837;7800;0.17
7837;7802;0
7837;7803;0.23
7837;7805;0
7837;7806;27.4
7837;7809;10.42
7837;7810;3.63
7837;7812;0.71
7837;7813;32.59
7837;7814;0.58
7837;7815;3.63
7837;7817;12.98
7837;7818;0
7837;7819;0
7837;7820;5.51
7837;7837;0
